Ticker,Company,AI_ValueChain,AI_Subsector,AI_Bottleneck,Bottleneck_Type,Technology_Moat,Pricing_Power,Revenue_Visibility,Customer_Concentration,Operating_Leverage,AI_Exposure,Valuation_Burden,Catalyst,Risk,Competitors,Major_Customers
ORCL,Oracle,데이터센터·클라우드,AI cloud,TRUE,AI cloud,5,4,4,,,5,4,"contracted capacity, multicloud DB","financing, customer concentration, execution",,
CRWV,CoreWeave,데이터센터·클라우드,Neocloud,TRUE,Neocloud,5,4,4,,,5,5,"new capacity, customer diversification","debt, concentration, utilization, power",,
EQIX,Equinix,데이터센터·클라우드,Colocation·interconnection,TRUE,Colocation·interconnection,5,4,4,,,5,4,"xScale, liquid-ready capacity","rates, power availability, REIT valuation",,
DLR,Digital Realty,데이터센터·클라우드,Wholesale colocation,TRUE,Wholesale colocation,5,4,4,,,5,4,powered shell and AI campuses,"rates, funding, power delays",,
PLTR,Palantir Technologies,AI Software / Agent,Enterprise AI,FALSE,Enterprise AI,4,4,4,,,5,5,"AIP bootcamps, government AI","valuation, concentration, competition",,
NOW,ServiceNow,AI Software / Agent,Workflow agent,FALSE,Workflow agent,4,4,4,,,4,4,"agentic workflows, data fabric","valuation, seat pricing, competition",,
CRM,Salesforce,AI Software / Agent,CRM agent,FALSE,CRM agent,4,4,4,,,4,2,"Agentforce consumption, Data Cloud","execution, pricing, Microsoft competition",,
SNOW,Snowflake,AI Software / Agent,Data cloud·AI,FALSE,Data cloud·AI,4,4,4,,,4,4,"Cortex, unstructured data, agents","competition, consumption variability",,
DDOG,Datadog,AI Software / Agent,Observability,FALSE,Observability,4,4,4,,,4,5,"AI observability, cloud optimization","valuation, cloud spending volatility",,
TSLA,Tesla,Physical AI,Autonomy·robotics,FALSE,Autonomy·robotics,4,3,3,,,4,5,"robotaxi scale, Optimus pilot","regulation, safety, execution, valuation",,
ROK,Rockwell Automation,Physical AI,Smart factory,FALSE,Smart factory,4,3,3,,,3,5,"digital twin, edge AI, reshoring","industrial cycle, competition",,
SYM,Symbotic,Physical AI,Logistics automation,FALSE,Logistics automation,4,3,3,,,5,5,"deployment ramp, new customers","customer concentration, execution, valuation",,
CRDO,Credo Technology,Networking,High-speed connectivity,TRUE,SerDes/DSP connectivity,,,,,,,,AI cluster scale-out and 800G/1.6T ramp,Customer concentration and valuation,,
ALAB,Astera Labs,AI Fabric,PCIe/CXL connectivity,TRUE,PCIe/CXL connectivity,,,,,,,,AI fabric expansion and rack-scale connectivity,High valuation and customer concentration,,
AAOI,Applied Optoelectronics,Optical,800G/1.6T Optical Transceiver,TRUE,Optical transceivers,,,,,,,,800G/1.6T hyperscale optical ramp,"Dilution, margins and customer concentration",,
